Parameters,pH,DO,BOD,COD,TDS,EC,NH3-N,NO3-N,NO2-N,TOC,TH,Mg,Fe,TC,E.coli
Desired Value,6.5-8.5*,>5,<30,<250,<1000*,<1500*,<1.5*,<50*,-,-,<500*,<100,<0.3(3.0)*,0*,0*
Unit,mg/l,mg/l,mg/l,mg/l,mg/l,µS/cm,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,MPN/100ml,MPN/100ml
Dhobikhola-Bijulibazar,8,4.9,123,430,730,890,120,0.7,0.1,34.5,130,12.5,5.6,1600,120
Dhobikhola-Kalopul,8.5,0.6,235,330,850,1100,170,4.2,0.3,45.7,100,9.8,5.6,1600,140
Dhobikhola-Chabahil,8.2,0.5,324,450,750,1450,120,0.7,<0.1,30.5,180,23.6,6.2,1600,110
