Parameters,pH,DO,BOD,COD,TDS,EC,NH3-N,NO3-N,NO2-N,TOC,TH,Mg,Fe,TC,E.coli
Desired Value,6.5-8.5*,>5,<30,<250,<1000*,<1500*,<1.5*,<50*,-,-,<500*,<100,<0.3(3.0)*,0*,0*
Unit,,mg/l,mg/l,mg/l,mg/l,µS/cm,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,MPN/100ml,MPN/100ml
Begnas-centre,7.6,6.5,1.1,2.8,20,20,1.1,0.12,0.01,2,220,14.3,0.4,1600,70
Begnas-End,7.6,5.8,1.2,2.3,10,20,1.1,0.13,0.02,2,220,12.4,0.1,900,50
Begnas-South side,7.6,6.5,1.1,2.5,10,10,1,0.11,0.01,2,120,9.7,0.1,500,20
Begnas-Outlet,7.6,6.6,1.3,2.6,20,35,0.8,0.14,0.01,2,80,4.7,0.2,900,20
