Parameters,pH,DO,BOD,COD,TDS,EC,NH3-N,NO3-N,NO2-N,TOC,TH,Mg,Fe,TC,E.coli
Desired Value,6.5-8.5*,>5,<30,<250,<1000*,<1500*,<1.5*,<50*,-,-,<500*,<100,<0.3(3.0)*,0*,0*
Unit,,mg/l,mg/l,mg/l,mg/l,µS/cm,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,MPN/100ml,MPN/100ml
Seti-Mardi,7.4,8.1,1.2,2.4,110,130.o,1.5,0.13,0.05,2,120,9.8,0.3,500,50
Seti-Setidoban,7.5,9.4,1.5,3.3,170,200,4.5,0.15,0.03,2,160,9.5,4.1,900,80
Seti-PN college,7.5,14.5,1.2,2.5,160,180,3.2,0.11,0.02,2,110,5.6,3.4,1600,120
Seti-Dobila,7.6,8.7,1.3,2.6,150,170,2.8,0.1,0.01,2,170,6.9,3.8,500,40
