Parameters,pH,DO,BOD,COD,TDS,EC,NH3-N,NO3-N,NO2-N,TOC,TH,Mg,Fe,TC,E.coli
Desired Value,6.5-8.5*,>5,<30,<250,<1000*,<1500*,<1.5*,<50*,-,-,<500*,<100,<0.3(3.0)*,0*,0*
Unit,mg/l,mg/l,mg/l,mg/l,mg/l,µS/cm,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,MPN/100ml,MPN/100ml
Bagmati-Sundarijal,6.6,14.8,9.6,24.8,380,460,10,0.1,0.1,6.8,140,21.1,0.5,500,40
Bagmati-Gokarna,7,7.1,4.7,18.6,100,150,20,0.1,0.1,5.7,150,34,11.6,1600,80
Bagmati-Gaurighat,6.7,3.2,4.1,12.3,120,160,70,0.4,0.09,20.7,130,22.8,7.3,1600,70
Bagmati-Khokana,7.4,1.2,90.5,192,810,970,70,0.3,0.1,30,90,10.6,3.9,900,50
