Parameters,pH,DO,BOD,COD,TDS,EC,NH3-N,NO3-N,NO2-N,TOC,TH,Mg,Fe,TC,E.coli
Desired Value,6.5-8.5*,>5,<30,<250,<1000*,<1500*,<1.5*,<50*,-,-,<500*,<100,<0.3(3.0)*,0*,0*
Unit,mg/l,mg/l,mg/l,mg/l,mg/l,µS/cm,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,MPN/100ml,MPN/100ml
Bishnumati-Budanilkanth,7,12.5,15.4,36.7,120,187,90,0.5,0.2,22.6,160,24.5,0.5,900,110
Bishnumati-Balaju Bridge,7.2,0.2,123,154,550,780,20,0.1,0.01,32.7,200,28.9,7.2,1600,220
Bishnumati-Sobhabhagwati,7.3,0.3,110,150,760,1100,30,0.2,0.1,31.1,190,34.8,5.6,1600,220
Bishnumati-Teku Dovan,7.5,0.9,167,178,920,1360,90,0.5,0.1,34.6,130,43.7,5.7,1600,170
