reach_id,strahler_ord,Z_u_m,Z_d_m,H_gross_m,A_u_km2,A_d_km2,length_m,slope_pct,mid_lon,mid_lat,is_ror,is_microhydro,hydro_method,Q_mean_m3s,Q40_m3s,Q65_m3s,Q80_m3s,Q90_m3s,Q_jan_m3s,Q_feb_m3s,Q_mar_m3s,Q_apr_m3s,Q_may_m3s,Q_jun_m3s,Q_jul_m3s,Q_aug_m3s,Q_sep_m3s,Q_oct_m3s,Q_nov_m3s,Q_dec_m3s,Q_env_m3s,Q_design_m3s,Q_net_m3s,eta,scale_type,H_net_m,P_inst_kW,annual_energy_MWh,dry_energy_MWh,wet_energy_MWh,E_jan_MWh,E_feb_MWh,E_mar_MWh,E_apr_MWh,E_may_MWh,E_jun_MWh,E_jul_MWh,E_aug_MWh,E_sep_MWh,E_oct_MWh,E_nov_MWh,E_dec_MWh,palika,is_border_river,apportion_factor,capacity_class,cultural_excluded,slope_viable,screened_viable
4162,1,1090.2,871.1,219.0,1.28,1.46,561.2,39.03,83.413611,28.049722,0,1,WECS_NEA_MIP,0.0583,0.0393,0.0202,0.0116,0.0084,0.0128,0.0117,0.0128,0.0175,0.0321,0.1021,0.1983,0.2129,0.1225,0.0554,0.0245,0.0152,0.0012,0.0202,0.019,0.65,Micro/Mini Hydro (<1 MW),197.1,23.88,188.79,77.29,111.5,10.85,8.87,10.85,14.75,18.89,18.28,18.89,18.89,18.28,18.89,18.28,13.09,Satyawati,0,1.0,Micro (5-100 kW),0,1,1
4163,1,871.1,674.8,196.3,1.46,2.1,635.4,30.9,83.409722,28.046389,0,1,WECS_NEA_MIP,0.0833,0.0563,0.0291,0.0169,0.0123,0.0183,0.0167,0.0183,0.025,0.0458,0.1457,0.2831,0.304,0.1749,0.0791,0.035,0.0217,0.0017,0.0291,0.0274,0.65,Micro/Mini Hydro (<1 MW),176.7,30.87,243.25,99.25,144.0,13.92,11.36,13.92,18.9,24.39,23.61,24.39,24.39,23.61,24.39,23.61,16.77,Satyawati,0,1.0,Micro (5-100 kW),0,1,1
4164,2,674.8,648.0,26.7,2.1,2.29,569.9,4.69,83.406389,28.0425,0,1,WECS_NEA_MIP,0.0907,0.0614,0.0318,0.0185,0.0134,0.0199,0.0181,0.0199,0.0272,0.0499,0.1586,0.3082,0.3309,0.1904,0.0861,0.0381,0.0236,0.0018,0.0318,0.03,0.65,Micro/Mini Hydro (<1 MW),24.0,4.59,36.07,14.7,21.37,2.06,1.68,2.06,2.8,3.62,3.5,3.62,3.62,3.5,3.62,3.5,2.48,Satyawati,0,1.0,Pico (<5 kW),0,1,0
4165,2,648.0,594.0,54.0,2.29,1490.75,360.8,14.97,83.406944,28.038611,1,0,GAUGE_TRANSFER_DHM,50.3771,30.8881,15.4441,9.9283,6.9866,11.083,10.0754,11.083,15.1131,27.7074,88.1599,171.2821,183.8763,105.7919,47.8582,21.1584,13.098,1.0075,30.8881,29.8806,0.82,Commercial RoR (>1 MW),48.6,5840.88,36755.34,11748.4,25006.95,2930.61,2382.29,2930.61,3970.48,7766.08,8694.46,8984.28,8984.28,8694.46,8984.28,5672.13,3516.71,Satyawati,1,0.5,Small/Medium RoR (>1 MW),0,1,1
4167,1,1608.8,1528.6,80.3,0.51,1.68,300.6,26.71,83.046111,28.179444,0,1,WECS_NEA_MIP,0.0669,0.0452,0.0232,0.0134,0.0097,0.0147,0.0134,0.0147,0.0201,0.0368,0.1171,0.2275,0.2443,0.1405,0.0636,0.0281,0.0174,0.0013,0.0232,0.0219,0.65,Micro/Mini Hydro (<1 MW),72.3,10.1,79.64,32.66,46.98,4.6,3.75,4.6,6.24,7.96,7.7,7.96,7.96,7.7,7.96,7.7,5.52,Madane,0,1.0,Micro (5-100 kW),0,1,1
4198,2,1604.7,1530.4,74.3,2.73,3.73,360.7,20.6,83.481667,28.038333,0,1,WECS_NEA_MIP,0.1462,0.0995,0.052,0.0305,0.0223,0.0322,0.0292,0.0322,0.0439,0.0804,0.2559,0.4972,0.5337,0.3071,0.1389,0.0614,0.038,0.0029,0.052,0.0491,0.65,Micro/Mini Hydro (<1 MW),66.9,20.95,163.8,66.37,97.43,9.3,7.54,9.3,12.59,16.5,15.97,16.5,16.5,15.97,16.5,15.97,11.14,Satyawati,0,1.0,Micro (5-100 kW),0,1,1
4200,1,1603.5,1431.3,172.1,0.64,1.13,589.1,29.22,83.472222,28.0925,0,1,WECS_NEA_MIP,0.0454,0.0305,0.0156,0.0089,0.0064,0.01,0.0091,0.01,0.0136,0.025,0.0794,0.1543,0.1656,0.0953,0.0431,0.0191,0.0118,0.0009,0.0156,0.0147,0.65,Micro/Mini Hydro (<1 MW),154.9,14.52,115.0,47.32,67.67,6.69,5.44,6.69,9.03,11.46,11.09,11.46,11.46,11.09,11.46,11.09,8.01,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
4201,1,1431.3,1308.3,123.0,1.13,2.69,520.7,23.63,83.476667,28.090556,0,1,WECS_NEA_MIP,0.1061,0.072,0.0374,0.0218,0.0159,0.0234,0.0212,0.0234,0.0318,0.0584,0.1858,0.3609,0.3874,0.2229,0.1008,0.0446,0.0276,0.0021,0.0374,0.0353,0.65,Micro/Mini Hydro (<1 MW),110.7,24.92,195.51,79.56,115.95,11.19,9.06,11.19,15.09,19.64,19.01,19.64,19.64,19.01,19.64,19.01,13.39,Satyawati,0,1.0,Micro (5-100 kW),0,1,1
4208,1,1602.2,1534.4,67.8,0.51,2.25,204.8,33.12,83.375556,28.175,0,1,WECS_NEA_MIP,0.0891,0.0603,0.0312,0.0181,0.0132,0.0196,0.0178,0.0196,0.0267,0.049,0.1559,0.3029,0.3252,0.1871,0.0846,0.0374,0.0232,0.0018,0.0312,0.0294,0.65,Micro/Mini Hydro (<1 MW),61.0,11.44,89.98,36.68,53.3,5.15,4.18,5.15,6.97,9.03,8.74,9.03,9.03,8.74,9.03,8.74,6.19,Musikot,0,1.0,Micro (5-100 kW),0,1,1
4227,1,1599.1,1442.3,156.9,0.54,1.31,614.1,25.55,83.158611,28.260833,0,1,WECS_NEA_MIP,0.0524,0.0353,0.0181,0.0104,0.0075,0.0115,0.0105,0.0115,0.0157,0.0288,0.0918,0.1783,0.1914,0.1101,0.0498,0.022,0.0136,0.0011,0.0181,0.0171,0.65,Micro/Mini Hydro (<1 MW),141.2,15.4,121.16,49.58,71.57,6.97,5.69,6.97,9.46,12.12,11.73,12.12,12.12,11.73,12.12,11.73,8.37,Malika,0,1.0,Micro (5-100 kW),0,1,1
