reach_id,strahler_ord,Z_u_m,Z_d_m,H_gross_m,A_u_km2,A_d_km2,length_m,slope_pct,mid_lon,mid_lat,is_ror,is_microhydro,hydro_method,Q_mean_m3s,Q40_m3s,Q65_m3s,Q80_m3s,Q90_m3s,Q_jan_m3s,Q_feb_m3s,Q_mar_m3s,Q_apr_m3s,Q_may_m3s,Q_jun_m3s,Q_jul_m3s,Q_aug_m3s,Q_sep_m3s,Q_oct_m3s,Q_nov_m3s,Q_dec_m3s,Q_env_m3s,Q_design_m3s,Q_net_m3s,eta,scale_type,H_net_m,P_inst_kW,annual_energy_MWh,dry_energy_MWh,wet_energy_MWh,E_jan_MWh,E_feb_MWh,E_mar_MWh,E_apr_MWh,E_may_MWh,E_jun_MWh,E_jul_MWh,E_aug_MWh,E_sep_MWh,E_oct_MWh,E_nov_MWh,E_dec_MWh,palika,is_border_river,apportion_factor,capacity_class,cultural_excluded,slope_viable,screened_viable
1623,1,2270.0,2143.2,126.7,0.63,1.85,536.0,23.64,83.089167,28.238056,0,1,WECS_NEA_MIP,0.0735,0.0497,0.0256,0.0148,0.0107,0.0162,0.0147,0.0162,0.0221,0.0405,0.1287,0.2501,0.2685,0.1545,0.0699,0.0309,0.0191,0.0015,0.0256,0.0241,0.65,Micro/Mini Hydro (<1 MW),114.0,17.52,138.23,56.49,81.73,7.95,6.45,7.95,10.78,13.85,13.4,13.85,13.85,13.4,13.85,13.4,9.52,Malika,0,1.0,Micro (5-100 kW),0,1,1
1823,1,2212.5,2143.2,69.2,0.59,1.85,328.5,21.07,83.088056,28.240556,0,1,WECS_NEA_MIP,0.0735,0.0497,0.0256,0.0148,0.0107,0.0162,0.0147,0.0162,0.0221,0.0405,0.1287,0.2501,0.2685,0.1545,0.0699,0.0309,0.0191,0.0015,0.0256,0.0241,0.65,Micro/Mini Hydro (<1 MW),62.3,9.57,75.54,30.87,44.67,4.34,3.52,4.34,5.89,7.57,7.32,7.57,7.57,7.32,7.57,7.32,5.2,Malika,0,1.0,Micro (5-100 kW),0,1,1
1855,1,2206.5,2106.5,100.1,0.52,0.89,505.4,19.81,83.098889,28.250556,0,1,WECS_NEA_MIP,0.0359,0.0241,0.0122,0.007,0.005,0.0079,0.0072,0.0079,0.0108,0.0197,0.0628,0.1221,0.1311,0.0754,0.0341,0.0151,0.0093,0.0007,0.0122,0.0115,0.65,Micro/Mini Hydro (<1 MW),90.1,6.61,52.52,21.73,30.78,3.08,2.51,3.08,4.18,5.21,5.05,5.21,5.21,5.05,5.21,5.05,3.68,Malika,0,1.0,Micro (5-100 kW),0,1,1
1856,1,2106.5,2038.2,68.3,0.89,1.24,561.2,12.16,83.103611,28.249722,0,1,WECS_NEA_MIP,0.0497,0.0334,0.0171,0.0098,0.0071,0.0109,0.0099,0.0109,0.0149,0.0273,0.087,0.169,0.1814,0.1044,0.0472,0.0209,0.0129,0.001,0.0171,0.0161,0.65,Micro/Mini Hydro (<1 MW),61.5,6.31,49.96,20.51,29.45,2.89,2.35,2.89,3.92,4.99,4.83,4.99,4.99,4.83,4.99,4.83,3.47,Malika,0,1.0,Micro (5-100 kW),0,1,1
1857,1,2038.2,1801.9,236.3,1.24,1.48,597.8,39.52,83.106667,28.246667,0,1,WECS_NEA_MIP,0.0591,0.0398,0.0204,0.0118,0.0085,0.013,0.0118,0.013,0.0177,0.0325,0.1034,0.2009,0.2157,0.1241,0.0561,0.0248,0.0154,0.0012,0.0204,0.0192,0.65,Micro/Mini Hydro (<1 MW),212.7,26.04,206.02,84.5,121.52,11.91,9.66,11.91,16.11,20.59,19.92,20.59,20.59,19.92,20.59,19.92,14.33,Malika,0,1.0,Micro (5-100 kW),0,1,1
1858,1,1801.9,1728.9,73.0,1.48,5.79,195.8,37.29,83.1075,28.243611,0,1,WECS_NEA_MIP,0.225,0.1538,0.081,0.048,0.0352,0.0495,0.045,0.0495,0.0675,0.1237,0.3937,0.765,0.8212,0.4725,0.2137,0.0945,0.0585,0.0045,0.081,0.0765,0.65,Micro/Mini Hydro (<1 MW),65.7,32.05,249.57,100.53,149.04,14.03,11.4,14.03,19.0,25.25,24.43,25.25,25.25,24.43,25.25,24.43,16.83,Malika,0,1.0,Micro (5-100 kW),0,1,1
2069,2,2143.2,2016.2,127.0,1.85,2.3,561.2,22.63,83.091944,28.241944,0,1,WECS_NEA_MIP,0.091,0.0616,0.0319,0.0185,0.0135,0.02,0.0182,0.02,0.0273,0.0501,0.1593,0.3095,0.3323,0.1912,0.0865,0.0382,0.0237,0.0018,0.0319,0.0301,0.65,Micro/Mini Hydro (<1 MW),114.3,21.94,172.44,70.32,102.11,9.87,8.03,9.87,13.38,17.3,16.74,17.3,17.3,16.74,17.3,16.74,11.88,Malika,0,1.0,Micro (5-100 kW),0,1,1
2070,2,2016.2,1882.4,133.8,2.3,3.11,547.3,24.45,83.096667,28.241667,0,1,WECS_NEA_MIP,0.1224,0.0831,0.0433,0.0253,0.0184,0.0269,0.0245,0.0269,0.0367,0.0673,0.2141,0.416,0.4466,0.257,0.1162,0.0514,0.0318,0.0025,0.0433,0.0408,0.65,Micro/Mini Hydro (<1 MW),120.4,31.32,245.6,99.6,146.0,13.94,11.35,13.94,18.9,24.73,23.93,24.73,24.73,23.93,24.73,23.93,16.74,Malika,0,1.0,Micro (5-100 kW),0,1,1
2071,2,1882.4,1778.5,103.9,3.11,3.74,519.3,20.01,83.101389,28.241667,0,1,WECS_NEA_MIP,0.1466,0.0998,0.0521,0.0306,0.0223,0.0323,0.0293,0.0323,0.044,0.0806,0.2566,0.4985,0.5351,0.3079,0.1393,0.0616,0.0381,0.0029,0.0521,0.0492,0.65,Micro/Mini Hydro (<1 MW),93.5,29.33,229.45,93.03,136.43,13.04,10.58,13.04,17.64,23.11,22.36,23.11,23.11,22.36,23.11,22.36,15.61,Malika,0,1.0,Micro (5-100 kW),0,1,1
2072,2,1778.5,1728.9,49.6,3.74,5.79,409.6,12.11,83.105556,28.242222,0,1,WECS_NEA_MIP,0.225,0.1538,0.081,0.048,0.0352,0.0495,0.045,0.0495,0.0675,0.1237,0.3937,0.765,0.8212,0.4725,0.2137,0.0945,0.0585,0.0045,0.081,0.0765,0.65,Micro/Mini Hydro (<1 MW),44.6,21.76,169.42,68.25,101.17,9.52,7.74,9.52,12.9,17.14,16.59,17.14,17.14,16.59,17.14,16.59,11.43,Malika,0,1.0,Micro (5-100 kW),0,1,1
2214,1,2103.9,1940.2,163.7,0.5,1.09,587.5,27.87,83.074722,28.224444,0,1,WECS_NEA_MIP,0.0438,0.0294,0.015,0.0086,0.0062,0.0096,0.0088,0.0096,0.0131,0.0241,0.0766,0.1489,0.1599,0.092,0.0416,0.0184,0.0114,0.0009,0.015,0.0141,0.65,Micro/Mini Hydro (<1 MW),147.3,13.24,105.09,43.22,61.88,6.08,4.99,6.08,8.25,10.48,10.14,10.48,10.48,10.14,10.48,10.14,7.34,Madane,0,1.0,Micro (5-100 kW),0,1,1
2215,1,1940.2,1838.8,101.4,1.09,1.78,604.4,16.77,83.074444,28.219722,0,1,WECS_NEA_MIP,0.0708,0.0478,0.0246,0.0142,0.0103,0.0156,0.0142,0.0156,0.0212,0.039,0.1239,0.2408,0.2585,0.1487,0.0673,0.0297,0.0184,0.0014,0.0246,0.0232,0.65,Micro/Mini Hydro (<1 MW),91.3,13.51,106.53,43.63,62.9,6.15,5.01,6.15,8.3,10.66,10.31,10.66,10.66,10.31,10.66,10.31,7.36,Madane,0,1.0,Micro (5-100 kW),0,1,1
2216,2,1838.8,1745.5,93.3,1.78,2.85,583.2,16.0,83.078056,28.215833,0,1,WECS_NEA_MIP,0.1123,0.0762,0.0396,0.0231,0.0168,0.0247,0.0225,0.0247,0.0337,0.0618,0.1966,0.3819,0.41,0.2359,0.1067,0.0472,0.0292,0.0022,0.0396,0.0374,0.65,Micro/Mini Hydro (<1 MW),84.0,20.03,157.09,63.93,93.16,8.97,7.31,8.97,12.15,15.78,15.27,15.78,15.78,15.27,15.78,15.27,10.76,Madane,0,1.0,Micro (5-100 kW),0,1,1
2217,2,1745.5,1654.8,90.7,2.85,4.31,492.1,18.43,83.081667,28.213611,0,1,WECS_NEA_MIP,0.1685,0.1148,0.0601,0.0354,0.0259,0.0371,0.0337,0.0371,0.0505,0.0927,0.2948,0.5728,0.6149,0.3538,0.16,0.0708,0.0438,0.0034,0.0601,0.0567,0.65,Micro/Mini Hydro (<1 MW),81.6,29.5,230.58,93.24,137.34,13.05,10.59,13.05,17.65,23.27,22.52,23.27,23.27,22.52,23.27,22.52,15.64,Madane,0,1.0,Micro (5-100 kW),0,1,1
2218,1,2103.0,1953.3,149.7,0.56,0.9,608.1,24.61,83.391944,28.155833,0,1,WECS_NEA_MIP,0.0363,0.0244,0.0124,0.0071,0.0051,0.008,0.0073,0.008,0.0109,0.02,0.0635,0.1234,0.1325,0.0762,0.0345,0.0152,0.0094,0.0007,0.0124,0.0117,0.65,Micro/Mini Hydro (<1 MW),134.7,10.05,79.71,32.93,46.78,4.66,3.81,4.66,6.31,7.92,7.67,7.92,7.92,7.67,7.92,7.67,5.56,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
2219,1,1953.3,1826.8,126.5,0.9,1.29,549.3,23.03,83.390556,28.151111,0,1,WECS_NEA_MIP,0.0517,0.0348,0.0178,0.0102,0.0074,0.0114,0.0103,0.0114,0.0155,0.0284,0.0904,0.1756,0.1885,0.1085,0.0491,0.0217,0.0134,0.001,0.0178,0.0168,0.65,Micro/Mini Hydro (<1 MW),113.9,12.2,96.46,39.68,56.78,5.62,4.54,5.62,7.58,9.62,9.31,9.62,9.62,9.31,9.62,9.31,6.7,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
2220,1,1826.8,1677.0,149.8,1.29,2.13,618.4,24.23,83.393333,28.146944,0,1,WECS_NEA_MIP,0.0844,0.0571,0.0295,0.0171,0.0124,0.0186,0.0169,0.0186,0.0253,0.0464,0.1478,0.2871,0.3082,0.1773,0.0802,0.0355,0.022,0.0017,0.0295,0.0278,0.65,Micro/Mini Hydro (<1 MW),134.8,23.9,188.22,76.85,111.37,10.81,8.78,10.81,14.61,18.87,18.26,18.87,18.87,18.26,18.87,18.26,12.98,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
2221,2,1677.0,1592.4,84.5,2.13,2.4,597.8,14.14,83.392222,28.142222,0,1,WECS_NEA_MIP,0.0949,0.0643,0.0333,0.0194,0.0141,0.0209,0.019,0.0209,0.0285,0.0522,0.1661,0.3227,0.3465,0.1993,0.0902,0.0399,0.0247,0.0019,0.0333,0.0314,0.65,Micro/Mini Hydro (<1 MW),76.0,15.22,119.65,48.78,70.88,6.85,5.57,6.85,9.28,12.01,11.62,12.01,12.01,11.62,12.01,11.62,8.22,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
2222,2,1592.4,1567.9,24.6,2.4,7.63,346.8,7.08,83.3925,28.138611,0,1,WECS_NEA_MIP,0.2949,0.2021,0.1071,0.0638,0.0469,0.0649,0.059,0.0649,0.0885,0.1622,0.516,1.0025,1.0762,0.6192,0.2801,0.1238,0.0767,0.0059,0.1071,0.1012,0.65,Micro/Mini Hydro (<1 MW),22.1,14.26,110.72,44.43,66.29,6.19,5.03,6.19,8.38,11.23,10.87,11.23,11.23,10.87,11.23,10.87,7.42,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
2281,1,2082.8,1812.9,269.9,0.66,1.07,625.1,43.19,83.358889,28.150556,0,1,WECS_NEA_MIP,0.043,0.0289,0.0147,0.0084,0.0061,0.0095,0.0086,0.0095,0.0129,0.0237,0.0753,0.1462,0.157,0.0903,0.0409,0.0181,0.0112,0.0009,0.0147,0.0138,0.65,Micro/Mini Hydro (<1 MW),242.9,21.37,170.02,70.03,100.0,9.91,8.01,9.91,13.38,16.94,16.39,16.94,16.94,16.39,16.94,16.39,11.87,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
2282,1,1812.9,1602.5,210.4,1.07,1.39,546.3,38.52,83.358611,28.145833,0,1,WECS_NEA_MIP,0.0556,0.0374,0.0192,0.011,0.008,0.0122,0.0111,0.0122,0.0167,0.0306,0.0973,0.189,0.2029,0.1167,0.0528,0.0233,0.0145,0.0011,0.0192,0.0181,0.65,Micro/Mini Hydro (<1 MW),189.4,21.86,172.76,70.92,101.84,9.97,8.12,9.97,13.56,17.25,16.7,17.25,17.25,16.7,17.25,16.7,12.04,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
2283,1,1602.5,1578.4,24.1,1.39,1.96,92.8,25.98,83.358889,28.143056,0,1,WECS_NEA_MIP,0.0778,0.0526,0.0271,0.0157,0.0114,0.0171,0.0156,0.0171,0.0233,0.0428,0.1362,0.2646,0.2841,0.1634,0.0739,0.0327,0.0202,0.0016,0.0271,0.0255,0.65,Micro/Mini Hydro (<1 MW),21.7,3.53,27.83,11.36,16.47,1.6,1.3,1.6,2.16,2.79,2.7,2.79,2.79,2.7,2.79,2.7,1.91,Chandrakot,0,1.0,Pico (<5 kW),0,1,0
2343,1,2066.4,1948.8,117.5,0.54,1.32,464.8,25.28,83.064167,28.234167,0,1,WECS_NEA_MIP,0.0528,0.0356,0.0182,0.0105,0.0076,0.0116,0.0106,0.0116,0.0158,0.0291,0.0925,0.1796,0.1928,0.1109,0.0502,0.0222,0.0137,0.0011,0.0182,0.0171,0.65,Micro/Mini Hydro (<1 MW),105.8,11.54,91.37,37.45,53.93,5.27,4.31,5.27,7.14,9.14,8.84,9.14,9.14,8.84,9.14,8.84,6.32,Madane,0,1.0,Micro (5-100 kW),0,1,1
2358,2,1855.1,1760.8,94.3,3.17,3.59,569.2,16.57,83.406667,28.146944,0,1,WECS_NEA_MIP,0.1408,0.0958,0.05,0.0293,0.0214,0.031,0.0282,0.031,0.0423,0.0775,0.2465,0.4789,0.5141,0.2958,0.1338,0.0592,0.0366,0.0028,0.05,0.0472,0.65,Micro/Mini Hydro (<1 MW),84.9,25.55,199.99,81.11,118.88,11.36,9.24,11.36,15.4,20.14,19.49,20.14,20.14,19.49,20.14,19.49,13.61,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
2359,2,1760.8,1511.6,249.2,3.59,16.0,521.3,47.8,83.410278,28.144444,1,0,WECS_NEA_MIP,0.6092,0.4206,0.2262,0.1367,0.1013,0.134,0.1218,0.134,0.1828,0.3351,1.0662,2.0714,2.2237,1.2794,0.5788,0.2559,0.1584,0.0122,0.4206,0.4084,0.82,Commercial RoR (>1 MW),224.3,736.88,4414.51,1311.25,3103.25,163.51,132.89,163.51,221.63,433.46,546.4,564.62,564.62,546.4,564.62,316.59,196.26,Chandrakot,0,1.0,Mini (100-1000 kW),0,1,1
2426,1,2034.4,1898.9,135.5,0.52,1.35,589.1,23.0,83.103333,28.229722,0,1,WECS_NEA_MIP,0.054,0.0364,0.0186,0.0107,0.0077,0.0119,0.0108,0.0119,0.0162,0.0297,0.0945,0.1836,0.1971,0.1134,0.0513,0.0227,0.014,0.0011,0.0186,0.0175,0.65,Micro/Mini Hydro (<1 MW),122.0,13.61,107.81,44.26,63.55,6.25,5.07,6.25,8.46,10.77,10.42,10.77,10.77,10.42,10.77,10.42,7.47,Malika,0,1.0,Micro (5-100 kW),0,1,1
2427,1,1898.9,1759.5,139.4,1.35,2.23,659.6,21.13,83.107778,28.233889,0,1,WECS_NEA_MIP,0.0883,0.0598,0.0309,0.018,0.013,0.0194,0.0177,0.0194,0.0265,0.0486,0.1546,0.3003,0.3224,0.1855,0.0839,0.0371,0.023,0.0018,0.0309,0.0291,0.65,Micro/Mini Hydro (<1 MW),125.5,23.29,183.36,74.76,108.6,10.48,8.55,10.48,14.23,18.4,17.8,18.4,18.4,17.8,18.4,17.8,12.62,Malika,0,1.0,Micro (5-100 kW),0,1,1
2428,2,1759.5,1653.6,105.9,2.23,8.76,484.4,21.86,83.110556,28.237778,0,1,WECS_NEA_MIP,0.3376,0.2317,0.1231,0.0735,0.0541,0.0743,0.0675,0.0743,0.1013,0.1857,0.5908,1.1478,1.2322,0.709,0.3207,0.1418,0.0878,0.0068,0.1231,0.1163,0.65,Micro/Mini Hydro (<1 MW),95.3,70.67,547.99,219.45,328.55,30.52,24.79,30.52,41.35,55.66,53.86,55.66,55.66,53.86,55.66,53.86,36.62,Malika,0,1.0,Micro (5-100 kW),0,1,1
2441,1,2029.5,1778.3,251.1,0.51,0.94,561.2,44.75,83.337778,28.161389,0,1,WECS_NEA_MIP,0.0379,0.0254,0.0129,0.0074,0.0053,0.0083,0.0076,0.0083,0.0114,0.0208,0.0663,0.1288,0.1383,0.0795,0.036,0.0159,0.0098,0.0008,0.0129,0.0121,0.65,Micro/Mini Hydro (<1 MW),226.0,17.44,138.79,57.15,81.65,8.04,6.59,8.04,11.0,13.83,13.38,13.83,13.83,13.38,13.83,13.38,9.65,Musikot,0,1.0,Micro (5-100 kW),0,1,1
2442,1,1778.3,1586.1,192.3,0.94,1.29,463.5,41.48,83.333056,28.162222,0,1,WECS_NEA_MIP,0.0517,0.0348,0.0178,0.0102,0.0074,0.0114,0.0103,0.0114,0.0155,0.0284,0.0904,0.1756,0.1885,0.1085,0.0491,0.0217,0.0134,0.001,0.0178,0.0168,0.65,Micro/Mini Hydro (<1 MW),173.1,18.54,146.59,60.3,86.29,8.54,6.9,8.54,11.52,14.62,14.15,14.62,14.62,14.15,14.62,14.15,10.18,Musikot,0,1.0,Micro (5-100 kW),0,1,1
2443,1,1586.1,1339.0,247.1,1.29,1.55,477.5,51.75,83.328333,28.1625,0,1,WECS_NEA_MIP,0.0618,0.0417,0.0214,0.0124,0.0089,0.0136,0.0124,0.0136,0.0186,0.034,0.1082,0.2103,0.2257,0.1299,0.0587,0.026,0.0161,0.0012,0.0214,0.0202,0.65,Micro/Mini Hydro (<1 MW),222.4,28.65,226.19,92.91,133.29,13.08,10.67,13.08,17.77,22.58,21.85,22.58,22.58,21.85,22.58,21.85,15.72,Musikot,0,1.0,Micro (5-100 kW),0,1,1
2444,1,1339.0,1157.9,181.1,1.55,1.82,610.4,29.67,83.323611,28.160833,0,1,WECS_NEA_MIP,0.0724,0.0489,0.0252,0.0146,0.0106,0.0159,0.0145,0.0159,0.0217,0.0398,0.1267,0.2461,0.2642,0.152,0.0688,0.0304,0.0188,0.0015,0.0252,0.0238,0.65,Micro/Mini Hydro (<1 MW),163.0,24.74,194.37,79.33,115.04,11.14,9.08,11.14,15.12,19.49,18.86,19.49,19.49,18.86,19.49,18.86,13.38,Musikot,0,1.0,Micro (5-100 kW),0,1,1
2445,1,1157.9,1103.2,54.7,1.82,3.08,206.1,26.54,83.321667,28.158333,0,1,WECS_NEA_MIP,0.1212,0.0823,0.0428,0.0251,0.0183,0.0267,0.0242,0.0267,0.0364,0.0667,0.2121,0.4121,0.4424,0.2545,0.1151,0.0509,0.0315,0.0024,0.0428,0.0404,0.65,Micro/Mini Hydro (<1 MW),49.2,12.67,99.37,40.4,58.97,5.67,4.6,5.67,7.68,9.99,9.67,9.99,9.99,9.67,9.99,9.67,6.79,Musikot,0,1.0,Micro (5-100 kW),0,1,1
2504,1,2006.3,1948.8,57.5,0.52,1.32,260.7,22.05,83.063056,28.235278,0,1,WECS_NEA_MIP,0.0528,0.0356,0.0182,0.0105,0.0076,0.0116,0.0106,0.0116,0.0158,0.0291,0.0925,0.1796,0.1928,0.1109,0.0502,0.0222,0.0137,0.0011,0.0182,0.0171,0.65,Micro/Mini Hydro (<1 MW),51.8,5.65,44.74,18.33,26.4,2.58,2.11,2.58,3.5,4.47,4.33,4.47,4.47,4.33,4.47,4.33,3.1,Madane,0,1.0,Micro (5-100 kW),0,1,1
2564,1,1994.9,1981.1,13.8,0.59,1.44,573.5,2.4,83.376944,28.153056,0,1,WECS_NEA_MIP,0.0575,0.0388,0.0199,0.0114,0.0083,0.0127,0.0115,0.0127,0.0173,0.0316,0.1007,0.1956,0.21,0.1208,0.0547,0.0242,0.015,0.0011,0.0199,0.0188,0.65,Micro/Mini Hydro (<1 MW),12.4,1.49,11.74,4.83,6.91,0.68,0.55,0.68,0.92,1.17,1.13,1.17,1.17,1.13,1.17,1.13,0.82,Chandrakot,0,1.0,Pico (<5 kW),0,1,0
2565,1,1981.1,1802.6,178.5,1.44,1.59,652.3,27.36,83.379167,28.148333,0,1,WECS_NEA_MIP,0.0634,0.0428,0.022,0.0127,0.0092,0.0139,0.0127,0.0139,0.019,0.0349,0.111,0.2156,0.2314,0.1331,0.0602,0.0266,0.0165,0.0013,0.022,0.0207,0.65,Micro/Mini Hydro (<1 MW),160.7,21.21,167.49,68.48,99.01,9.61,7.85,9.61,13.06,16.77,16.23,16.77,16.77,16.23,16.77,16.23,11.59,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
2566,1,1802.6,1772.6,30.0,1.59,2.63,192.2,15.62,83.382222,28.146111,0,1,WECS_NEA_MIP,0.1038,0.0704,0.0365,0.0213,0.0155,0.0228,0.0208,0.0228,0.0311,0.0571,0.1817,0.353,0.379,0.218,0.0986,0.0436,0.027,0.0021,0.0365,0.0344,0.65,Micro/Mini Hydro (<1 MW),27.0,5.92,46.53,18.93,27.6,2.65,2.16,2.65,3.59,4.68,4.52,4.68,4.68,4.52,4.68,4.52,3.19,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
2582,1,1988.5,1726.8,261.7,0.51,1.0,556.6,47.02,83.084167,28.218056,0,1,WECS_NEA_MIP,0.0402,0.027,0.0138,0.0079,0.0057,0.0089,0.008,0.0089,0.0121,0.0221,0.0704,0.1368,0.1469,0.0845,0.0382,0.0169,0.0105,0.0008,0.0138,0.013,0.65,Micro/Mini Hydro (<1 MW),235.5,19.52,154.85,63.84,91.02,9.05,7.27,9.05,12.22,15.42,14.92,15.42,15.42,14.92,15.42,14.92,10.84,Madane,0,1.0,Micro (5-100 kW),0,1,1
2583,1,1726.8,1654.8,72.0,1.0,4.31,319.5,22.53,83.084167,28.214444,0,1,WECS_NEA_MIP,0.1685,0.1148,0.0601,0.0354,0.0259,0.0371,0.0337,0.0371,0.0505,0.0927,0.2948,0.5728,0.6149,0.3538,0.16,0.0708,0.0438,0.0034,0.0601,0.0567,0.65,Micro/Mini Hydro (<1 MW),64.8,23.43,183.11,74.04,109.07,10.36,8.41,10.36,14.01,18.48,17.88,18.48,18.48,17.88,18.48,17.88,12.42,Madane,0,1.0,Micro (5-100 kW),0,1,1
2610,1,1974.8,1756.5,218.4,0.51,1.79,494.7,44.14,83.4875,28.045556,0,1,WECS_NEA_MIP,0.0712,0.0481,0.0248,0.0143,0.0104,0.0157,0.0142,0.0157,0.0214,0.0392,0.1246,0.2421,0.2599,0.1495,0.0676,0.0299,0.0185,0.0014,0.0248,0.0234,0.65,Micro/Mini Hydro (<1 MW),196.6,29.33,231.14,94.59,136.55,13.34,10.78,13.34,18.05,23.13,22.38,23.13,23.13,22.38,23.13,22.38,15.95,Satyawati,0,1.0,Micro (5-100 kW),0,1,1
2651,1,1967.3,1830.1,137.2,0.53,0.86,546.3,25.11,83.091944,28.216667,0,1,WECS_NEA_MIP,0.0347,0.0233,0.0118,0.0067,0.0048,0.0076,0.0069,0.0076,0.0104,0.0191,0.0608,0.118,0.1267,0.0729,0.033,0.0146,0.009,0.0007,0.0118,0.0111,0.65,Micro/Mini Hydro (<1 MW),123.5,8.74,69.46,28.64,40.81,4.04,3.28,4.04,5.5,6.91,6.69,6.91,6.91,6.69,6.91,6.69,4.86,Madane,0,1.0,Micro (5-100 kW),0,1,1
2652,1,1830.1,1682.5,147.6,0.86,1.09,586.8,25.15,83.09,28.2125,0,1,WECS_NEA_MIP,0.0438,0.0294,0.015,0.0086,0.0062,0.0096,0.0088,0.0096,0.0131,0.0241,0.0766,0.1489,0.1599,0.092,0.0416,0.0184,0.0114,0.0009,0.015,0.0141,0.65,Micro/Mini Hydro (<1 MW),132.8,11.94,94.75,38.96,55.79,5.48,4.5,5.48,7.44,9.45,9.15,9.45,9.45,9.15,9.45,9.15,6.62,Madane,0,1.0,Micro (5-100 kW),0,1,1
2653,1,1682.5,1544.7,137.8,1.09,1.26,635.4,21.69,83.087778,28.208056,0,1,WECS_NEA_MIP,0.0505,0.034,0.0174,0.01,0.0072,0.0111,0.0101,0.0111,0.0151,0.0278,0.0883,0.1716,0.1842,0.106,0.048,0.0212,0.0131,0.001,0.0174,0.0164,0.65,Micro/Mini Hydro (<1 MW),124.0,12.97,102.52,42.1,60.42,5.94,4.84,5.94,8.03,10.24,9.91,10.24,10.24,9.91,10.24,9.91,7.12,Madane,0,1.0,Micro (5-100 kW),0,1,1
2654,2,1544.7,1538.5,6.2,1.26,6.08,41.2,15.0,83.085278,28.205833,0,1,WECS_NEA_MIP,0.236,0.1614,0.0851,0.0505,0.037,0.0519,0.0472,0.0519,0.0708,0.1298,0.4131,0.8025,0.8615,0.4957,0.2242,0.0991,0.0614,0.0047,0.0851,0.0804,0.65,Micro/Mini Hydro (<1 MW),5.6,2.87,22.34,8.99,13.35,1.25,1.02,1.25,1.7,2.26,2.19,2.26,2.26,2.19,2.26,2.19,1.51,Madane,0,1.0,Pico (<5 kW),0,1,0
2658,1,1963.8,1848.6,115.2,0.6,0.8,596.5,19.32,83.376944,28.147778,0,1,WECS_NEA_MIP,0.0323,0.0217,0.011,0.0062,0.0045,0.0071,0.0065,0.0071,0.0097,0.0178,0.0566,0.11,0.118,0.0679,0.0307,0.0136,0.0084,0.0006,0.011,0.0103,0.65,Micro/Mini Hydro (<1 MW),103.7,6.81,54.54,22.6,31.95,3.2,2.62,3.2,4.33,5.41,5.24,5.41,5.41,5.24,5.41,5.24,3.84,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
2659,1,1848.6,1772.6,76.0,0.8,2.63,438.2,17.33,83.381111,28.146389,0,1,WECS_NEA_MIP,0.1038,0.0704,0.0365,0.0213,0.0155,0.0228,0.0208,0.0228,0.0311,0.0571,0.1817,0.353,0.379,0.218,0.0986,0.0436,0.027,0.0021,0.0365,0.0344,0.65,Micro/Mini Hydro (<1 MW),68.4,15.0,117.86,47.95,69.92,6.72,5.48,6.72,9.11,11.84,11.46,11.84,11.84,11.46,11.84,11.46,8.08,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
2692,1,1949.1,1756.5,192.7,0.51,1.79,451.5,42.67,83.489167,28.042778,0,1,WECS_NEA_MIP,0.0712,0.0481,0.0248,0.0143,0.0104,0.0157,0.0142,0.0157,0.0214,0.0392,0.1246,0.2421,0.2599,0.1495,0.0676,0.0299,0.0185,0.0014,0.0248,0.0234,0.65,Micro/Mini Hydro (<1 MW),173.4,25.87,203.86,83.43,120.43,11.76,9.51,11.76,15.92,20.4,19.74,20.4,20.4,19.74,20.4,19.74,14.07,Satyawati,0,1.0,Micro (5-100 kW),0,1,1
2693,1,1948.8,1790.4,158.4,1.32,1.94,547.3,28.95,83.059722,28.233611,0,1,WECS_NEA_MIP,0.0771,0.0521,0.0269,0.0156,0.0113,0.017,0.0154,0.017,0.0231,0.0424,0.1348,0.262,0.2812,0.1618,0.0732,0.0324,0.02,0.0015,0.0269,0.0254,0.65,Micro/Mini Hydro (<1 MW),142.6,23.1,181.75,74.32,107.43,10.49,8.49,10.49,14.14,18.2,17.61,18.2,18.2,17.61,18.2,17.61,12.52,Madane,0,1.0,Micro (5-100 kW),0,1,1
